year,amatc,pice,msstc
1961,-7.8,NA,0.9
1962,-7.6,NA,0.2
1963,-7.9,NA,1.5
1964,-10.3,NA,-2.9
1965,-6.4,NA,0.6
1966,-9.3,NA,-3.4
1967,-5,NA,2.4
1968,-9.8,NA,-0.4
1969,-5.7,NA,2.2
1970,-9.4,0.672,-0.5
1971,-10.6,0.784,-1.6
1972,-11.2,0.75,-0.2
1973,-7.7,0.747,-2.2
1974,-6.2,0.56,2.3
1975,-10.4,0.757,-1.1
1976,-12.4,0.727,-1.9
1977,-12.6,0.691,-1.8
1978,-4,0.612,2.4
1979,-3.6,0.231,2.2
1980,-4.6,0.437,2.5
1981,-4.3,0.307,2.8
1982,-10.9,0.666,-1.7
1983,-3.9,0.459,0.4
1984,-10.9,0.706,-2.4
1985,-17.1,0.746,-1.2
1986,-11.1,0.62,-0.3
1987,-7.5,0.633,-0.4
1988,-5.1,0.542,0.7
1989,-4.1,0.388,-0.4
1990,-3.3,0.369,0.2
1991,-3.9,0.483,0.8
1992,-5.7,0.697,-3
1993,-2.4,0.513,0.9
1994,-7,0.632,0.6
1995,-3.5,0.498,0.4
1996,-5.9,0.337,0.8
1997,-2.9,0.496,0.4
1998,-3.3,0.326,-0.4
1999,-8.3,0.67,-2.4
2000,-5.9,0.555,-1.5
2001,-5.6,0.696,-3.8
2002,-6.7,0.253,0
2003,-3.3,0.39,0.8
2004,-1.7,0.372,1.1
2005,-9.2,0.569,-0.7
2006,-10.9,0.638,-0.9
2007,-2.8,0.6,-0.8
2008,-9.4,0.683,-1.7
2009,-8.6,0.676,-1
2010,-6.7,0.759,-1.9
2011,-7.9,0.52,-1.5
2012,-6.3,0.753,-3.5
2013,-9.2,0.7,-3.7
2014,-2,0.365,-0.6
2015,-5.9,0.557,-1.7
2016,1.3,0.416,-0.6
2017,-0.7,0.453,-0.3
2018,-3.2,0.13,-0.2
2019,-4.8,0.078,-0.02
2020,-3.92,0.53,-1.43
